,problem_name,hashed_name,sheet_name,skills,lesson_name
0,real1,a6f9727real1,1.1 Real Numbers,['classifying_a_real_number'],Openstax: College Algebra
1,real10,a6f9727real10,1.1 Real Numbers,['classifying_a_real_number'],Openstax: College Algebra
2,real11,a6f9727real11,1.1 Real Numbers,['evaluating_algebraic_expressions'],Openstax: College Algebra
3,real12,a6f9727real12,1.1 Real Numbers,['evaluating_algebraic_expressions'],Openstax: College Algebra
4,real13,a6f9727real13,1.1 Real Numbers,['evaluating_algebraic_expressions'],Openstax: College Algebra
5,real14,a6f9727real14,1.1 Real Numbers,['evaluating_algebraic_expressions'],Openstax: College Algebra
6,real15,a6f9727real15,1.1 Real Numbers,['performing_calculations_using_the_order_of_operations'],Openstax: College Algebra
7,real16,a6f9727real16,1.1 Real Numbers,['performing_calculations_using_the_order_of_operations'],Openstax: College Algebra
8,real17,a6f9727real17,1.1 Real Numbers,['performing_calculations_using_the_order_of_operations'],Openstax: College Algebra
9,real18,a6f9727real18,1.1 Real Numbers,['evaluating_algebraic_expressions'],Openstax: College Algebra
10,real19,a6f9727real19,1.1 Real Numbers,['evaluating_algebraic_expressions'],Openstax: College Algebra
11,real2,a6f9727real2,1.1 Real Numbers,['classifying_a_real_number'],Openstax: College Algebra
12,real20,a6f9727real20,1.1 Real Numbers,['evaluating_algebraic_expressions'],Openstax: College Algebra
13,real21,a6f9727real21,1.1 Real Numbers,['evaluating_algebraic_expressions'],Openstax: College Algebra
14,real22,a6f9727real22,1.1 Real Numbers,['classifying_a_real_number'],Openstax: College Algebra
15,real23,a6f9727real23,1.1 Real Numbers,['classifying_a_real_number'],Openstax: College Algebra
16,real24,a6f9727real24,1.1 Real Numbers,['classifying_a_real_number'],Openstax: College Algebra
17,real25,a6f9727real25,1.1 Real Numbers,['classifying_a_real_number'],Openstax: College Algebra
18,real26,a6f9727real26,1.1 Real Numbers,['performing_calculations_using_the_order_of_operations'],Openstax: College Algebra
19,real27,a6f9727real27,1.1 Real Numbers,['performing_calculations_using_the_order_of_operations'],Openstax: College Algebra
20,real28,a6f9727real28,1.1 Real Numbers,['performing_calculations_using_the_order_of_operations'],Openstax: College Algebra
21,real3,a6f9727real3,1.1 Real Numbers,['classifying_a_real_number'],Openstax: College Algebra
22,real4,a6f9727real4,1.1 Real Numbers,['classifying_a_real_number'],Openstax: College Algebra
23,real5,a6f9727real5,1.1 Real Numbers,['performing_calculations_using_the_order_of_operations'],Openstax: College Algebra
24,real6,a6f9727real6,1.1 Real Numbers,['performing_calculations_using_the_order_of_operations'],Openstax: College Algebra
25,real7,a6f9727real7,1.1 Real Numbers,['classifying_a_real_number'],Openstax: College Algebra
26,real8,a6f9727real8,1.1 Real Numbers,['evaluating_algebraic_expressions'],Openstax: College Algebra
27,real9,a6f9727real9,1.1 Real Numbers,['evaluating_algebraic_expressions'],Openstax: College Algebra
28,exp1,a6d0007exp1,1.2 Exponents and Scientific Notation,"['using_the_rules_of_exponents', 'product_rule']",Openstax: College Algebra
29,exp10,a6d0007exp10,1.2 Exponents and Scientific Notation,"['using_the_rules_of_exponents', 'negative_exponent_rule', 'quotient_rule', 'product_rule']",Openstax: College Algebra
30,exp11,a6d0007exp11,1.2 Exponents and Scientific Notation,"['using_the_rules_of_exponents', 'negative_exponent_rule', 'quotient_rule', 'product_rule']",Openstax: College Algebra
31,exp12,a6d0007exp12,1.2 Exponents and Scientific Notation,"['using_the_rules_of_exponents', 'negative_exponent_rule', 'quotient_rule', 'product_rule']",Openstax: College Algebra
32,exp13,a6d0007exp13,1.2 Exponents and Scientific Notation,"['using_the_rules_of_exponents', 'power_of_a_product_rule', 'power_rule']",Openstax: College Algebra
33,exp14,a6d0007exp14,1.2 Exponents and Scientific Notation,"['using_the_rules_of_exponents', 'power_of_a_product_rule', 'power_rule']",Openstax: College Algebra
34,exp15,a6d0007exp15,1.2 Exponents and Scientific Notation,"['using_the_rules_of_exponents', 'power_of_a_quotient_rule', 'power_rule', 'negative_exponent_rule']",Openstax: College Algebra
35,exp16,a6d0007exp16,1.2 Exponents and Scientific Notation,"['using_the_rules_of_exponents', 'power_of_a_quotient_rule', 'power_rule', 'negative_exponent_rule']",Openstax: College Algebra
36,exp17,a6d0007exp17,1.2 Exponents and Scientific Notation,['using_scientific_notation'],Openstax: College Algebra
37,exp18,a6d0007exp18,1.2 Exponents and Scientific Notation,['using_scientific_notation'],Openstax: College Algebra
38,exp19,a6d0007exp19,1.2 Exponents and Scientific Notation,['using_scientific_notation'],Openstax: College Algebra
39,exp2,a6d0007exp2,1.2 Exponents and Scientific Notation,"['using_the_rules_of_exponents', 'product_rule']",Openstax: College Algebra
40,exp20,a6d0007exp20,1.2 Exponents and Scientific Notation,['using_scientific_notation'],Openstax: College Algebra
41,exp21,a6d0007exp21,1.2 Exponents and Scientific Notation,['using_scientific_notation'],Openstax: College Algebra
42,exp22,a6d0007exp22,1.2 Exponents and Scientific Notation,['using_scientific_notation'],Openstax: College Algebra
43,exp23,a6d0007exp23,1.2 Exponents and Scientific Notation,['using_scientific_notation'],Openstax: College Algebra
44,exp24,a6d0007exp24,1.2 Exponents and Scientific Notation,['using_scientific_notation'],Openstax: College Algebra
45,exp25,a6d0007exp25,1.2 Exponents and Scientific Notation,['using_scientific_notation'],Openstax: College Algebra
46,exp3,a6d0007exp3,1.2 Exponents and Scientific Notation,"['using_the_rules_of_exponents', 'quotient_rule']",Openstax: College Algebra
47,exp4,a6d0007exp4,1.2 Exponents and Scientific Notation,"['using_the_rules_of_exponents', 'quotient_rule']",Openstax: College Algebra
